#,DateTime,Temperature_C,Event,mm
,6/6/2022 16:00,29.352,,
,6/6/2022 17:00,24.931,,
,6/6/2022 18:00,14.709,,
,6/6/2022 19:00,11.236,,
,6/6/2022 20:00,8.581,,
,6/6/2022 21:00,6.674,,
,6/6/2022 22:00,5.655,,
,6/6/2022 23:00,5.141,,
,6/7/2022 0:00,4.831,,
,6/7/2022 1:00,4.623,,
,6/7/2022 2:00,4.415,,
,6/7/2022 3:00,3.998,,
,6/7/2022 4:00,3.893,,
,6/7/2022 5:00,4.102,,
,6/7/2022 6:00,4.727,,
,6/7/2022 7:00,5.757,,
,6/7/2022 8:00,6.877,,
,6/7/2022 9:00,12.98,,
,6/7/2022 10:00,27.272,,
,6/7/2022 11:00,25.805,,
,6/7/2022 12:00,28.953,,
,6/7/2022 13:00,26.488,,
,6/7/2022 14:00,28.159,,
,6/7/2022 15:00,29.452,,
,6/7/2022 16:00,24.641,,
,6/7/2022 17:00,23.196,,
,6/7/2022 18:00,16.713,,
,6/7/2022 19:00,12.98,,
,6/7/2022 20:00,11.236,,
,6/7/2022 21:00,10.259,,
,6/7/2022 22:00,9.768,,
,6/7/2022 23:00,9.472,,
,6/8/2022 0:00,9.077,,
,6/8/2022 1:00,8.779,,
,6/8/2022 2:00,8.68,,
,6/8/2022 3:00,8.68,,
,6/8/2022 4:00,8.779,,
,6/8/2022 4:36,,66,0.254
,6/8/2022 5:00,8.282,,
,6/8/2022 6:00,8.082,,
,6/8/2022 6:06,,67,0.254
,6/8/2022 7:00,9.275,,
,6/8/2022 8:00,9.768,,
,6/8/2022 9:00,10.161,,
,6/8/2022 10:00,12.594,,
,6/8/2022 11:00,13.942,,
,6/8/2022 12:00,23.1,,
,6/8/2022 13:00,29.552,,
,6/8/2022 14:00,35.649,,
,6/8/2022 15:00,24.641,,
,6/8/2022 16:00,27.961,,
,6/8/2022 16:59,,68,0.254
,6/8/2022 16:59,,69,0.254
,6/8/2022 17:00,18.426,,
,6/8/2022 17:00,,70,0.254
,6/8/2022 17:01,,71,0.254
,6/8/2022 17:01,,72,0.254
,6/8/2022 17:01,,73,0.254
,6/8/2022 17:02,,74,0.254
,6/8/2022 17:02,,75,0.254
,6/8/2022 17:02,,76,0.254
,6/8/2022 17:02,,77,0.254
,6/8/2022 17:03,,78,0.254
,6/8/2022 17:03,,79,0.254
,6/8/2022 17:03,,80,0.254
,6/8/2022 17:03,,81,0.254
,6/8/2022 17:04,,82,0.254
,6/8/2022 17:04,,83,0.254
,6/8/2022 17:05,,84,0.254
,6/8/2022 17:08,,85,0.254
,6/8/2022 17:17,,86,0.254
,6/8/2022 17:22,,87,0.254
,6/8/2022 17:23,,88,0.254
,6/8/2022 17:26,,89,0.254
,6/8/2022 17:26,,90,0.254
,6/8/2022 17:27,,91,0.254
,6/8/2022 17:27,,92,0.254
,6/8/2022 17:27,,93,0.254
,6/8/2022 17:28,,94,0.254
,6/8/2022 17:28,,95,0.254
,6/8/2022 17:29,,96,0.254
,6/8/2022 17:30,,97,0.254
,6/8/2022 17:31,,98,0.254
,6/8/2022 17:34,,99,0.254
,6/8/2022 17:40,,100,0.254
,6/8/2022 17:48,,101,0.254
,6/8/2022 18:00,10.455,,
,6/8/2022 18:14,,102,0.254
,6/8/2022 19:00,9.866,,
,6/8/2022 20:00,9.077,,
,6/8/2022 21:00,8.282,,
,6/8/2022 22:00,7.582,,
,6/8/2022 23:00,6.674,,
,6/9/2022 0:00,6.166,,
,6/9/2022 1:00,5.655,,
,6/9/2022 2:00,5.552,,
,6/9/2022 3:00,5.141,,
,6/9/2022 4:00,5.037,,
,6/9/2022 5:00,5.757,,
,6/9/2022 6:00,6.471,,
,6/9/2022 7:00,9.077,,
,6/9/2022 8:00,12.013,,
,6/9/2022 9:00,15.569,,
,6/9/2022 10:00,17.665,,
,6/9/2022 11:00,20.329,,
,6/9/2022 12:00,17.57,,
,6/9/2022 13:00,14.134,,
,6/9/2022 14:00,11.139,,
,6/9/2022 14:07,,103,0.254
,6/9/2022 14:43,,104,0.254
,6/9/2022 14:59,,105,0.254
,6/9/2022 15:00,10.357,,
,6/9/2022 15:07,,106,0.254
,6/9/2022 15:15,,107,0.254
,6/9/2022 15:26,,108,0.254
,6/9/2022 15:31,,109,0.254
,6/9/2022 15:35,,110,0.254
,6/9/2022 15:39,,111,0.254
,6/9/2022 15:43,,112,0.254
,6/9/2022 15:48,,113,0.254
,6/9/2022 15:54,,114,0.254
,6/9/2022 15:57,,115,0.254
,6/9/2022 16:00,9.077,,
,6/9/2022 16:01,,116,0.254
,6/9/2022 16:05,,117,0.254
,6/9/2022 16:09,,118,0.254
,6/9/2022 16:13,,119,0.254
,6/9/2022 16:17,,120,0.254
,6/9/2022 16:21,,121,0.254
,6/9/2022 16:26,,122,0.254
,6/9/2022 16:31,,123,0.254
,6/9/2022 16:34,,124,0.254
,6/9/2022 16:38,,125,0.254
,6/9/2022 16:43,,126,0.254
,6/9/2022 16:47,,127,0.254
,6/9/2022 16:51,,128,0.254
,6/9/2022 16:58,,129,0.254
,6/9/2022 17:00,8.182,,
,6/9/2022 17:05,,130,0.254
,6/9/2022 17:11,,131,0.254
,6/9/2022 17:15,,132,0.254
,6/9/2022 17:19,,133,0.254
,6/9/2022 17:25,,134,0.254
,6/9/2022 17:31,,135,0.254
,6/9/2022 17:39,,136,0.254
,6/9/2022 17:47,,137,0.254
,6/9/2022 17:55,,138,0.254
,6/9/2022 18:00,7.481,,
,6/9/2022 18:01,,139,0.254
,6/9/2022 18:09,,140,0.254
,6/9/2022 18:15,,141,0.254
,6/9/2022 18:23,,142,0.254
,6/9/2022 18:29,,143,0.254
,6/9/2022 18:37,,144,0.254
,6/9/2022 18:50,,145,0.254
,6/9/2022 19:00,6.775,,
,6/9/2022 19:07,,146,0.254
,6/9/2022 19:18,,147,0.254
,6/9/2022 19:29,,148,0.254
,6/9/2022 19:39,,149,0.254
,6/9/2022 19:49,,150,0.254
,6/9/2022 19:57,,151,0.254
,6/9/2022 20:00,6.268,,
,6/9/2022 20:03,,152,0.254
,6/9/2022 20:08,,153,0.254
,6/9/2022 20:14,,154,0.254
,6/9/2022 20:18,,155,0.254
,6/9/2022 20:22,,156,0.254
,6/9/2022 20:26,,157,0.254
,6/9/2022 20:32,,158,0.254
,6/9/2022 20:37,,159,0.254
,6/9/2022 20:43,,160,0.254
,6/9/2022 20:49,,161,0.254
,6/9/2022 20:58,,162,0.254
,6/9/2022 21:00,6.064,,
,6/9/2022 21:03,,163,0.254
,6/9/2022 21:11,,164,0.254
,6/9/2022 21:15,,165,0.254
,6/9/2022 21:21,,166,0.254
,6/9/2022 21:26,,167,0.254
,6/9/2022 21:32,,168,0.254
,6/9/2022 21:37,,169,0.254
,6/9/2022 21:44,,170,0.254
,6/9/2022 21:48,,171,0.254
,6/9/2022 21:53,,172,0.254
,6/9/2022 21:57,,173,0.254
,6/9/2022 22:00,6.064,,
,6/9/2022 22:00,,174,0.254
,6/9/2022 22:03,,175,0.254
,6/9/2022 22:06,,176,0.254
,6/9/2022 22:09,,177,0.254
,6/9/2022 22:12,,178,0.254
,6/9/2022 22:15,,179,0.254
,6/9/2022 22:18,,180,0.254
,6/9/2022 22:21,,181,0.254
,6/9/2022 22:25,,182,0.254
,6/9/2022 22:30,,183,0.254
,6/9/2022 22:39,,184,0.254
,6/9/2022 22:48,,185,0.254
,6/9/2022 22:54,,186,0.254
,6/9/2022 23:00,6.166,,
,6/9/2022 23:00,,187,0.254
,6/9/2022 23:07,,188,0.254
,6/9/2022 23:13,,189,0.254
,6/9/2022 23:19,,190,0.254
,6/9/2022 23:29,,191,0.254
,6/9/2022 23:33,,192,0.254
,6/9/2022 23:40,,193,0.254
,6/9/2022 23:50,,194,0.254
,6/10/2022 0:00,6.37,,
,6/10/2022 0:23,,195,0.254
,6/10/2022 1:00,7.28,,
,6/10/2022 2:00,7.983,,
,6/10/2022 2:38,,196,0.254
,6/10/2022 3:00,7.782,,
,6/10/2022 4:00,7.582,,
,6/10/2022 5:00,6.978,,
,6/10/2022 6:00,7.079,,
,6/10/2022 7:00,8.182,,
,6/10/2022 8:00,10.748,,
,6/10/2022 9:00,15.664,,
,6/10/2022 10:00,22.429,,
,6/10/2022 11:00,32.704,,
,6/10/2022 12:00,34.268,,
,6/10/2022 13:00,34.268,,
,6/10/2022 14:00,33.118,,
,6/10/2022 15:00,33.848,,
,6/10/2022 16:00,33.743,,
,6/10/2022 17:00,27.468,,
,6/10/2022 18:00,18.806,,
,6/10/2022 19:00,15.855,,
,6/10/2022 20:00,13.365,,
,6/10/2022 20:20,,197,0.254
,6/10/2022 20:32,,198,0.254
,6/10/2022 20:35,,199,0.254
,6/10/2022 20:42,,200,0.254
