"TOA5","Burn22","CR1000X","12230","CR1000X.Std.03.02","CPU:Burn22.CR1X","65289","RainEvent"
"TIMESTAMP","RECORD","Anonymous3","Rain_mm_Tot"
"TS","RN","","mm"
"","","Smp","Tot"
"2022-09-16 11:59:50",169,1,0.2
"2022-09-16 14:39:40",170,1,0.2
"2022-09-16 15:04:30",171,1,0.2
"2022-09-16 15:06:30",172,1,0.2
"2022-09-16 15:08:20",173,1,0.2
"2022-09-16 15:09:00",174,1,0.2
"2022-09-16 15:09:20",175,1,0.2
"2022-09-16 15:09:50",176,1,0.2
"2022-09-16 15:10:30",177,1,0.2
"2022-09-16 15:11:50",178,1,0.2
"2022-09-16 15:12:40",179,1,0.2
"2022-09-16 15:13:50",180,1,0.2
"2022-09-16 15:16:30",181,1,0.2
"2022-09-16 15:19:30",182,1,0.2
"2022-09-16 15:26:10",183,1,0.2
"2022-09-16 15:42:00",184,1,0.2
"2022-09-16 15:46:40",185,1,0.2
"2022-09-16 15:49:40",186,1,0.2
"2022-09-16 15:52:50",187,1,0.2
"2022-09-16 15:58:10",188,1,0.2
"2022-09-16 16:08:30",189,1,0.2
"2022-09-16 16:18:50",190,1,0.2
"2022-09-16 16:29:30",191,1,0.2
"2022-09-16 16:33:30",192,1,0.2
"2022-09-16 16:41:30",193,1,0.2
"2022-09-16 16:46:30",194,1,0.2
"2022-09-16 16:48:10",195,1,0.2
"2022-09-16 16:50:50",196,1,0.2
"2022-09-16 16:53:00",197,1,0.2
"2022-09-16 16:54:30",198,1,0.2
"2022-09-16 16:56:40",199,1,0.2
"2022-09-16 16:58:10",200,1,0.2
"2022-09-16 17:00:10",201,1,0.2
"2022-09-16 17:01:30",202,1,0.2
"2022-09-16 17:03:00",203,1,0.2
"2022-09-16 17:05:10",204,1,0.2
"2022-09-16 17:07:00",205,1,0.2
"2022-09-16 17:09:20",206,1,0.2
"2022-09-16 17:11:40",207,1,0.2
"2022-09-16 17:14:20",208,1,0.2
"2022-09-16 17:17:10",209,1,0.2
"2022-09-16 17:19:20",210,1,0.2
"2022-09-16 17:21:30",211,1,0.2
"2022-09-16 17:24:50",212,1,0.2
"2022-09-16 17:27:10",213,1,0.2
"2022-09-16 17:29:40",214,1,0.2
"2022-09-16 17:31:50",215,1,0.2
"2022-09-16 17:34:00",216,1,0.2
"2022-09-16 17:36:40",217,1,0.2
"2022-09-16 17:39:50",218,1,0.2
"2022-09-16 17:42:30",219,1,0.2
"2022-09-16 17:43:30",220,1,0.2
"2022-09-16 17:45:20",221,1,0.2
"2022-09-16 17:48:50",222,1,0.2
"2022-09-16 17:51:40",223,1,0.2
"2022-09-16 17:56:20",224,1,0.2
"2022-09-16 18:04:00",225,1,0.2
"2022-09-16 18:14:20",226,1,0.2
"2022-09-16 18:20:00",227,1,0.2
"2022-09-16 18:31:20",228,1,0.2
"2022-09-16 18:38:10",229,1,0.2
"2022-09-16 18:59:50",230,1,0.2
"2022-09-16 19:51:00",231,1,0.2
"2022-09-16 20:29:40",232,1,0.2
"2022-09-16 23:36:30",233,1,0.2
"2022-09-29 07:35:50",234,1,0.2
"2022-09-29 07:40:50",235,1,0.2
"2022-09-29 07:44:30",236,1,0.2
"2022-09-29 07:51:00",237,1,0.2
"2022-09-29 07:59:50",238,1,0.2
"2022-09-29 08:09:50",239,1,0.2
"2022-09-29 08:15:40",240,1,0.2
"2022-09-29 08:25:50",241,1,0.2
"2022-09-29 08:33:10",242,1,0.2
"2022-09-29 08:38:10",243,1,0.2
"2022-09-29 08:43:00",244,1,0.2
"2022-09-29 08:49:10",245,1,0.2
"2022-09-29 09:01:40",246,1,0.2
"2022-09-29 11:36:00",247,1,0.2
"2022-10-10 16:57:50",248,1,0.2
"2022-10-10 17:00:00",249,1,0.2
"2022-10-10 17:04:40",250,1,0.2
"2022-10-10 17:09:10",251,1,0.2
"2022-10-10 17:12:50",252,1,0.2
"2022-10-10 17:14:40",253,1,0.2
"2022-10-10 17:16:30",254,1,0.2
"2022-10-10 17:19:30",255,1,0.2
"2022-10-10 17:24:00",256,1,0.2
"2022-10-10 17:28:00",257,1,0.2
"2022-10-10 17:35:40",258,1,0.2
"2022-10-10 17:38:50",259,1,0.2
"2022-10-10 17:41:30",260,1,0.2
"2022-10-10 17:43:50",261,1,0.2
"2022-10-10 17:46:10",262,1,0.2
"2022-10-10 17:48:40",263,1,0.2
"2022-10-10 17:51:00",264,1,0.2
"2022-10-10 17:54:00",265,1,0.2
"2022-10-10 18:03:10",266,1,0.2
"2022-10-10 21:09:40",267,1,0.2
